column_name,national_position,dtype,source_table,domain,attribution_method,n_null,pct_null,n_distinct,min,max,mean,sentinel_note,role,allowed_for_scoring,scoring_reason,allowed_for_bias,bias_reason,candidate_hypotheses,candidate_hypotheses_reason,present_in_regions,missing_from_regions,present_in_all_four_regions,region_only,profile_scope,vintage_status,vintage_note
tribal_stat_pct,57,double,national-tribal-tract-table,tribal,unambiguous,0,0.0,358,0.0,1.0,0.0129717542070386,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; Dispatch-Blind Reachability; Tribal Sub-type + Edge Effect; Population Exposure vs. Disparity,tribal-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",ambiguous_no_marker,"Carries no in-file vintage column; assumed 2020 TIGER/Line AIANNH vintage by consistency with tract_vintage=2020, not independently confirmed from the file itself."
aiannh_geoid,58,string,national-tribal-tract-table,tribal,unambiguous,82843,0.970103986135182,552,,,,,identity_metadata,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,"descriptive/provenance label (which external entity a tract was matched to or overlaps), usable for named-instance or coarse-grouping bias analysis, not for anything for which its own cardinality can't support meaningful stratification",Tribal Sub-type + Edge Effect; Population Exposure vs. Disparity,"identity-metadata column matched by an explicit, named per-column rule (see module docstring)",eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",ambiguous_no_marker,"Carries no in-file vintage column; assumed 2020 TIGER/Line AIANNH vintage by consistency with tract_vintage=2020, not independently confirmed from the file itself."
aiannh_name,59,string,national-tribal-tract-table,tribal,unambiguous,82843,0.970103986135182,552,,,,,identity_metadata,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,"descriptive/provenance label (which external entity a tract was matched to or overlaps), usable for named-instance or coarse-grouping bias analysis, not for anything for which its own cardinality can't support meaningful stratification",Tribal Sub-type + Edge Effect; Population Exposure vs. Disparity,"identity-metadata column matched by an explicit, named per-column rule (see module docstring)",eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",ambiguous_no_marker,"Carries no in-file vintage column; assumed 2020 TIGER/Line AIANNH vintage by consistency with tract_vintage=2020, not independently confirmed from the file itself."
aiannh_kind,60,string,national-tribal-tract-table,tribal,unambiguous,82843,0.970103986135182,2,,,,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; Dispatch-Blind Reachability; Tribal Sub-type + Edge Effect; Population Exposure vs. Disparity,tribal-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",ambiguous_no_marker,"Carries no in-file vintage column; assumed 2020 TIGER/Line AIANNH vintage by consistency with tract_vintage=2020, not independently confirmed from the file itself."
usdm_covered,61,bool,national-usdm-drought-tract-table,drought,unambiguous,0,0.0,2,,,,,coverage_flag,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,"central to Measurement Eligibility Bias analysis (whether a hazard/vulnerability measurement exists for a tract at all, cross-tabulated against SVI/tribal/rurality/hazard exposure)",Measurement Eligibility Bias,a <source>_covered flag — whether this strata source has data for a tract at all is exactly what Measurement Eligibility Bias asks,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usdm_year_min/max (2015-2023) is a deliberate sub-window of USDM's full record (Jan 2000-present), not a data limitation."
usdm_summer_dsci,62,double,national-usdm-drought-tract-table,drought,unambiguous,362,0.0042390744297156,72943,0.0,264.5984120965424,70.20464378394612,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,drought-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usdm_year_min/max (2015-2023) is a deliberate sub-window of USDM's full record (Jan 2000-present), not a data limitation."
usdm_summer_pct_d0plus,63,double,national-usdm-drought-tract-table,drought,unambiguous,362,0.0042390744297156,66216,0.0,89.02953584720788,34.591676828373295,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,drought-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usdm_year_min/max (2015-2023) is a deliberate sub-window of USDM's full record (Jan 2000-present), not a data limitation."
usdm_summer_pct_d2plus,64,double,national-usdm-drought-tract-table,drought,unambiguous,362,0.0042390744297156,36916,0.0,58.602688276859695,10.131330555556715,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,drought-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usdm_year_min/max (2015-2023) is a deliberate sub-window of USDM's full record (Jan 2000-present), not a data limitation."
usdm_winter_dsci,65,double,national-usdm-drought-tract-table,drought,unambiguous,362,0.0042390744297156,72363,0.0,285.04518868995103,81.35748829203406,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,drought-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usdm_year_min/max (2015-2023) is a deliberate sub-window of USDM's full record (Jan 2000-present), not a data limitation."
usdm_winter_pct_d0plus,66,double,national-usdm-drought-tract-table,drought,unambiguous,362,0.0042390744297156,64516,0.0,97.42489270386268,39.76812155462534,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,drought-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usdm_year_min/max (2015-2023) is a deliberate sub-window of USDM's full record (Jan 2000-present), not a data limitation."
usdm_winter_pct_d2plus,67,double,national-usdm-drought-tract-table,drought,unambiguous,362,0.0042390744297156,39554,0.0,62.8578470645197,11.541408528955792,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,drought-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usdm_year_min/max (2015-2023) is a deliberate sub-window of USDM's full record (Jan 2000-present), not a data limitation."
usdm_year_min,68,int64,national-usdm-drought-tract-table,drought,unambiguous,0,0.0,1,2015.0,2015.0,2015.0,,vintage_metadata,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",False,"constant across all tracts nationally (n_distinct=1) — carries no discriminative signal for any bias analysis, regardless of role",,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain",eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usdm_year_min/max (2015-2023) is a deliberate sub-window of USDM's full record (Jan 2000-present), not a data limitation."
usdm_year_max,69,int64,national-usdm-drought-tract-table,drought,unambiguous,0,0.0,1,2023.0,2023.0,2023.0,,vintage_metadata,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",False,"constant across all tracts nationally (n_distinct=1) — carries no discriminative signal for any bias analysis, regardless of role",,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain",eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usdm_year_min/max (2015-2023) is a deliberate sub-window of USDM's full record (Jan 2000-present), not a data limitation."
usfs_covered,70,bool,national-usfs-wildfire-tract-table,wildfire,unambiguous,0,0.0,2,,,,,coverage_flag,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,"central to Measurement Eligibility Bias analysis (whether a hazard/vulnerability measurement exists for a tract at all, cross-tabulated against SVI/tribal/rurality/hazard exposure)",Measurement Eligibility Bias,a <source>_covered flag — whether this strata source has data for a tract at all is exactly what Measurement Eligibility Bias asks,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usfs_edition confirms the 2nd edition (RDS-2020-0060-2), CONUS extent."
usfs_BP_mean,71,double,national-usfs-wildfire-tract-table,wildfire,unambiguous,1619,0.0189587334301372,79581,0.0,0.0713849098452065,0.0006071608257509,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usfs_edition confirms the 2nd edition (RDS-2020-0060-2), CONUS extent."
usfs_CFL_mean,72,double,national-usfs-wildfire-tract-table,wildfire,unambiguous,1619,0.0189587334301372,79492,0.0,39.93672385406888,1.0616228160841117,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usfs_edition confirms the 2nd edition (RDS-2020-0060-2), CONUS extent."
usfs_CRPS_mean,73,double,national-usfs-wildfire-tract-table,wildfire,unambiguous,1619,0.0189587334301372,79591,0.0,80.6313009583027,14.462913122723622,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usfs_edition confirms the 2nd edition (RDS-2020-0060-2), CONUS extent."
usfs_RPS_mean,74,double,national-usfs-wildfire-tract-table,wildfire,unambiguous,1619,0.0189587334301372,79591,0.0,4.825893962935359,0.0238447492394768,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usfs_edition confirms the 2nd edition (RDS-2020-0060-2), CONUS extent."
usfs_WHP_mean,75,double,national-usfs-wildfire-tract-table,wildfire,unambiguous,1619,0.0189587334301372,79492,0.0,25629.853267309296,91.09264401861704,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usfs_edition confirms the 2nd edition (RDS-2020-0060-2), CONUS extent."
usfs_Exposure_mean,76,double,national-usfs-wildfire-tract-table,wildfire,unambiguous,1619,0.0189587334301372,79591,0.0,0.9999704799036,0.4018722967655607,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usfs_edition confirms the 2nd edition (RDS-2020-0060-2), CONUS extent."
usfs_FLEP4_mean,77,double,national-usfs-wildfire-tract-table,wildfire,unambiguous,1619,0.0189587334301372,77088,0.0,0.8369975342444457,0.0446207712149749,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usfs_edition confirms the 2nd edition (RDS-2020-0060-2), CONUS extent."
usfs_FLEP8_mean,78,double,national-usfs-wildfire-tract-table,wildfire,unambiguous,1619,0.0189587334301372,65456,0.0,0.7089727814423945,0.0107512990047055,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usfs_edition confirms the 2nd edition (RDS-2020-0060-2), CONUS extent."
usfs_CWiRRZ_majority_label,79,string,national-usfs-wildfire-tract-table,wildfire,unambiguous,1619,0.0189587334301372,10,,,,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usfs_edition confirms the 2nd edition (RDS-2020-0060-2), CONUS extent."
usfs_CWiRRZ_majority_zone4_label,80,string,national-usfs-wildfire-tract-table,wildfire,unambiguous,4954,0.0580120848751697,4,,,,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usfs_edition confirms the 2nd edition (RDS-2020-0060-2), CONUS extent."
usfs_BuildingCount_sum,81,double,national-usfs-wildfire-tract-table,wildfire,unambiguous,1619,0.0189587334301372,83248,0.0,28587.911402027123,1740.6279117004317,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usfs_edition confirms the 2nd edition (RDS-2020-0060-2), CONUS extent."
usfs_BuildingCover_mean,82,double,national-usfs-wildfire-tract-table,wildfire,unambiguous,1619,0.0189587334301372,83527,0.0,81.10104942951213,9.747143570120269,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usfs_edition confirms the 2nd edition (RDS-2020-0060-2), CONUS extent."
usfs_BuildingDensity_mean,83,double,national-usfs-wildfire-tract-table,wildfire,unambiguous,1619,0.0189587334301372,83553,0.0,6766.7952484097805,426.4853435864359,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usfs_edition confirms the 2nd edition (RDS-2020-0060-2), CONUS extent."
usfs_HUCount_sum,84,double,national-usfs-wildfire-tract-table,wildfire,unambiguous,1619,0.0189587334301372,83384,0.0,12947.943663506558,1671.633873522139,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usfs_edition confirms the 2nd edition (RDS-2020-0060-2), CONUS extent."
usfs_HUDen_mean,85,double,national-usfs-wildfire-tract-table,wildfire,unambiguous,1619,0.0189587334301372,83512,0.0,49202.14375339076,846.6611702818699,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usfs_edition confirms the 2nd edition (RDS-2020-0060-2), CONUS extent."
usfs_HUExposure_mean,86,double,national-usfs-wildfire-tract-table,wildfire,unambiguous,1885,0.0220736334254531,79412,0.0,0.0327735569215104,4.284040102672988e-05,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usfs_edition confirms the 2nd edition (RDS-2020-0060-2), CONUS extent."
usfs_HUImpact_mean,87,double,national-usfs-wildfire-tract-table,wildfire,unambiguous,1885,0.0220736334254531,79403,0.0,108246735.35641833,1601906.37805204,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usfs_edition confirms the 2nd edition (RDS-2020-0060-2), CONUS extent."
usfs_HURisk_mean,88,double,national-usfs-wildfire-tract-table,wildfire,unambiguous,1885,0.0220736334254531,78007,0.0,2000937.9061032864,1355.4051320493247,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usfs_edition confirms the 2nd edition (RDS-2020-0060-2), CONUS extent."
usfs_PopCount_sum,89,double,national-usfs-wildfire-tract-table,wildfire,unambiguous,1619,0.0189587334301372,83407,0.0,36506.90737609071,4243.279169424266,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usfs_edition confirms the 2nd edition (RDS-2020-0060-2), CONUS extent."
usfs_PopDen_mean,90,double,national-usfs-wildfire-tract-table,wildfire,unambiguous,1619,0.0189587334301372,83537,0.0,93573.06840404142,2124.147996357806,,measurement,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usfs_edition confirms the 2nd edition (RDS-2020-0060-2), CONUS extent."
usfs_edition,91,string,national-usfs-wildfire-tract-table,wildfire,unambiguous,0,0.0,1,,,,,vintage_metadata,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",False,"constant across all tracts nationally (n_distinct=1) — carries no discriminative signal for any bias analysis, regardless of role",,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain",eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usfs_edition confirms the 2nd edition (RDS-2020-0060-2), CONUS extent."
usfs_extent,92,string,national-usfs-wildfire-tract-table,wildfire,unambiguous,0,0.0,1,,,,,vintage_metadata,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",False,"constant across all tracts nationally (n_distinct=1) — carries no discriminative signal for any bias analysis, regardless of role",,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain",eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,"usfs_edition confirms the 2nd edition (RDS-2020-0060-2), CONUS extent."
